PurchaseOrderID,PurchaseOrderDetailID,EmployeeID,VendorID,ShipMethodID,ProductID,DueDate,OrderQty,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,Status,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,NationalIDNumber,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion,AddressLine1,City,StateProvinceName,PostalCode,CountryRegionName,ProductName,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,ProductSize,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,AccountNumber,Vendorname,VendorCreditRating,PreferredVendorStatus,VendorActiveFlag,AddressType,VendorAddressLine,VendorCity,VendorStateProvinceName,VendorPostalCode,VendorCountryRegionName,ProductCategoryID,ProductSubcategoryName,ProductCategoryName,ProductModelName
8,11,256,1616,5,403,5/14/2011 0:00,3,47.4705,142.4115,3,0,3,4,4/30/2011 0:00,5/9/2011 0:00,693.378,55.4702,17.3345,766.1827,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,External Lock Washer 3,LE-1000,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AURORAB0001,Aurora Bike Center,1,TRUE,TRUE,Main Office,65 Park Glen Court,Port Orchard,Washington,98366,United States,,,,
8,12,256,1616,5,404,5/14/2011 0:00,3,45.3705,136.1115,3,0,3,4,4/30/2011 0:00,5/9/2011 0:00,693.378,55.4702,17.3345,766.1827,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,External Lock Washer 4,LE-1200,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AURORAB0001,Aurora Bike Center,1,TRUE,TRUE,Main Office,65 Park Glen Court,Port Orchard,Washington,98366,United States,,,,
8,13,256,1616,5,405,5/14/2011 0:00,3,49.644,148.932,3,0,3,4,4/30/2011 0:00,5/9/2011 0:00,693.378,55.4702,17.3345,766.1827,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,External Lock Washer 9,LE-1201,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AURORAB0001,Aurora Bike Center,1,TRUE,TRUE,Main Office,65 Park Glen Court,Port Orchard,Washington,98366,United States,,,,
8,14,256,1616,5,406,5/14/2011 0:00,3,45.3705,136.1115,3,0,3,4,4/30/2011 0:00,5/9/2011 0:00,693.378,55.4702,17.3345,766.1827,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,External Lock Washer 5,LE-1400,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AURORAB0001,Aurora Bike Center,1,TRUE,TRUE,Main Office,65 Park Glen Court,Port Orchard,Washington,98366,United States,,,,
8,15,256,1616,5,407,5/14/2011 0:00,3,43.2705,129.8115,3,0,3,4,4/30/2011 0:00,5/9/2011 0:00,693.378,55.4702,17.3345,766.1827,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,External Lock Washer 7,LE-3800,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AURORAB0001,Aurora Bike Center,1,TRUE,TRUE,Main Office,65 Park Glen Court,Port Orchard,Washington,98366,United States,,,,
9,16,259,1492,5,422,12/28/2011 0:00,3,47.523,142.569,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,694.1655,55.5332,17.3541,767.0528,20269531,Buyer,6/3/1973,M,M,3/9/2010,FALSE,55,47,TRUE,,Ben,T,Miller,,151-555-0113,Work,ben0@adventure-works.com,0,101 Candy Rd.,Redmond,Washington,98052,United States,Thin-Jam Lock Nut 9,LJ-1213,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AUSTRALI0001,Australia Bike Retailer,1,TRUE,TRUE,Main Office,28 San Marino Ct.,Bellingham,Washington,98225,United States,,,,
9,17,259,1492,5,423,12/28/2011 0:00,3,45.423,136.269,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,694.1655,55.5332,17.3541,767.0528,20269531,Buyer,6/3/1973,M,M,3/9/2010,FALSE,55,47,TRUE,,Ben,T,Miller,,151-555-0113,Work,ben0@adventure-works.com,0,101 Candy Rd.,Redmond,Washington,98052,United States,Thin-Jam Lock Nut 10,LJ-1220,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AUSTRALI0001,Australia Bike Retailer,1,TRUE,TRUE,Main Office,28 San Marino Ct.,Bellingham,Washington,98225,United States,,,,
9,18,259,1492,5,424,12/28/2011 0:00,3,49.6965,149.0895,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,694.1655,55.5332,17.3541,767.0528,20269531,Buyer,6/3/1973,M,M,3/9/2010,FALSE,55,47,TRUE,,Ben,T,Miller,,151-555-0113,Work,ben0@adventure-works.com,0,101 Candy Rd.,Redmond,Washington,98052,United States,Thin-Jam Lock Nut 1,LJ-1420,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AUSTRALI0001,Australia Bike Retailer,1,TRUE,TRUE,Main Office,28 San Marino Ct.,Bellingham,Washington,98225,United States,,,,
9,19,259,1492,5,425,12/28/2011 0:00,3,45.423,136.269,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,694.1655,55.5332,17.3541,767.0528,20269531,Buyer,6/3/1973,M,M,3/9/2010,FALSE,55,47,TRUE,,Ben,T,Miller,,151-555-0113,Work,ben0@adventure-works.com,0,101 Candy Rd.,Redmond,Washington,98052,United States,Thin-Jam Lock Nut 2,LJ-1428,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AUSTRALI0001,Australia Bike Retailer,1,TRUE,TRUE,Main Office,28 San Marino Ct.,Bellingham,Washington,98225,United States,,,,
9,20,259,1492,5,426,12/28/2011 0:00,3,43.323,129.969,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,694.1655,55.5332,17.3541,767.0528,20269531,Buyer,6/3/1973,M,M,3/9/2010,FALSE,55,47,TRUE,,Ben,T,Miller,,151-555-0113,Work,ben0@adventure-works.com,0,101 Candy Rd.,Redmond,Washington,98052,United States,Thin-Jam Lock Nut 15,LJ-3410,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,AUSTRALI0001,Australia Bike Retailer,1,TRUE,TRUE,Main Office,28 San Marino Ct.,Bellingham,Washington,98225,United States,,,,
10,21,250,1602,5,320,12/28/2011 0:00,3,47.4705,142.4115,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,1796.0355,143.6828,44.9009,1984.6192,895209680,Purchasing Manager,2/10/1978,S,F,2/25/2011,TRUE,49,44,TRUE,,Sheela,H,Word,,210-555-0193,Work,sheela0@adventure-works.com,0,535 Greendell Pl,Sammamish,Washington,98074,United States,Chainring Bolts,CB-2903,FALSE,FALSE,Silver,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BEAUMONT0001,Beaumont Bikes,1,FALSE,TRUE,Main Office,2472 Alexander Place,West Covina,Idaho,83301,United States,,,,
10,22,250,1602,5,321,12/28/2011 0:00,3,42.798,128.394,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,1796.0355,143.6828,44.9009,1984.6192,895209680,Purchasing Manager,2/10/1978,S,F,2/25/2011,TRUE,49,44,TRUE,,Sheela,H,Word,,210-555-0193,Work,sheela0@adventure-works.com,0,535 Greendell Pl,Sammamish,Washington,98074,United States,Chainring Nut,CN-6137,FALSE,FALSE,Silver,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BEAUMONT0001,Beaumont Bikes,1,FALSE,TRUE,Main Office,2472 Alexander Place,West Covina,Idaho,83301,United States,,,,
10,23,250,1602,5,322,12/28/2011 0:00,60,25.4205,1525.23,60,0,60,4,12/14/2011 0:00,12/23/2011 0:00,1796.0355,143.6828,44.9009,1984.6192,895209680,Purchasing Manager,2/10/1978,S,F,2/25/2011,TRUE,49,44,TRUE,,Sheela,H,Word,,210-555-0193,Work,sheela0@adventure-works.com,0,535 Greendell Pl,Sammamish,Washington,98074,United States,Chainring,CR-7833,FALSE,FALSE,Black,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BEAUMONT0001,Beaumont Bikes,1,FALSE,TRUE,Main Office,2472 Alexander Place,West Covina,Idaho,83301,United States,,,,
11,24,258,1540,4,438,12/28/2011 0:00,3,41.223,123.669,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,501.1965,40.0957,12.5299,553.8221,785853949,Buyer,1/4/1971,S,F,1/31/2010,FALSE,53,46,TRUE,,Erin,M,Hagens,,842-555-0158,Work,erin0@adventure-works.com,0,2947 Vine Lane,Bellevue,Washington,98004,United States,Lock Nut 5,LN-1024,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BERGERON0001,Bergeron Off-Roads,1,TRUE,TRUE,Main Office,9830 May Way,Mill Valley,Montana,59715,United States,,,,
11,25,258,1540,4,439,12/28/2011 0:00,3,45.4965,136.4895,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,501.1965,40.0957,12.5299,553.8221,785853949,Buyer,1/4/1971,S,F,1/31/2010,FALSE,53,46,TRUE,,Erin,M,Hagens,,842-555-0158,Work,erin0@adventure-works.com,0,2947 Vine Lane,Bellevue,Washington,98004,United States,Lock Nut 6,LN-1032,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BERGERON0001,Bergeron Off-Roads,1,TRUE,TRUE,Main Office,9830 May Way,Mill Valley,Montana,59715,United States,,,,
11,26,258,1540,4,440,12/28/2011 0:00,3,41.223,123.669,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,501.1965,40.0957,12.5299,553.8221,785853949,Buyer,1/4/1971,S,F,1/31/2010,FALSE,53,46,TRUE,,Erin,M,Hagens,,842-555-0158,Work,erin0@adventure-works.com,0,2947 Vine Lane,Bellevue,Washington,98004,United States,Lock Nut 16,LN-1213,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BERGERON0001,Bergeron Off-Roads,1,TRUE,TRUE,Main Office,9830 May Way,Mill Valley,Montana,59715,United States,,,,
11,27,258,1540,4,441,12/28/2011 0:00,3,39.123,117.369,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,501.1965,40.0957,12.5299,553.8221,785853949,Buyer,1/4/1971,S,F,1/31/2010,FALSE,53,46,TRUE,,Erin,M,Hagens,,842-555-0158,Work,erin0@adventure-works.com,0,2947 Vine Lane,Bellevue,Washington,98004,United States,Lock Nut 17,LN-1220,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BERGERON0001,Bergeron Off-Roads,1,TRUE,TRUE,Main Office,9830 May Way,Mill Valley,Montana,59715,United States,,,,
12,28,254,1628,5,941,12/28/2011 0:00,550,62.9895,34644.225,550,82,468,4,12/14/2011 0:00,12/23/2011 0:00,34644.225,2771.538,866.1056,38281.8686,482810518,Buyer,11/24/1970,M,M,1/4/2010,FALSE,57,48,TRUE,,Fukiko,J,Ogisu,,520-555-0177,Work,fukiko0@adventure-works.com,0,8751 Norse Drive,Bellevue,Washington,98004,United States,Touring Pedal,PD-T852,FALSE,TRUE,Silver/Black,500,375,35.9596,80.99,,,,,1,T ,,,13,53,5/30/2013 0:00,,,BICYCLE0001,Bicycle Specialists,1,TRUE,TRUE,Main Office,1286 Cincerto Circle,Lake Oswego,Oregon,97034,United States,2,Pedals,Components,Touring Pedal
13,29,257,1604,4,320,12/28/2011 0:00,3,45.3705,136.1115,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,1839.5055,147.1604,45.9876,2032.6535,381073001,Buyer,9/17/1972,S,M,1/27/2010,FALSE,54,47,TRUE,,Eric,S,Kurjan,,265-555-0195,Work,eric2@adventure-works.com,2,1378 String Dr,Renton,Washington,98055,United States,Chainring Bolts,CB-2903,FALSE,FALSE,Silver,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BIKESAT0001,Bike Satellite Inc.,1,FALSE,TRUE,Main Office,2141 Delaware Ct.,Downey,Tennessee,37501,United States,,,,
13,30,257,1604,4,321,12/28/2011 0:00,3,40.488,121.464,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,1839.5055,147.1604,45.9876,2032.6535,381073001,Buyer,9/17/1972,S,M,1/27/2010,FALSE,54,47,TRUE,,Eric,S,Kurjan,,265-555-0195,Work,eric2@adventure-works.com,2,1378 String Dr,Renton,Washington,98055,United States,Chainring Nut,CN-6137,FALSE,FALSE,Silver,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BIKESAT0001,Bike Satellite Inc.,1,FALSE,TRUE,Main Office,2141 Delaware Ct.,Downey,Tennessee,37501,United States,,,,
13,31,257,1604,4,322,12/28/2011 0:00,60,26.3655,1581.93,60,0,60,4,12/14/2011 0:00,12/23/2011 0:00,1839.5055,147.1604,45.9876,2032.6535,381073001,Buyer,9/17/1972,S,M,1/27/2010,FALSE,54,47,TRUE,,Eric,S,Kurjan,,265-555-0195,Work,eric2@adventure-works.com,2,1378 String Dr,Renton,Washington,98055,United States,Chainring,CR-7833,FALSE,FALSE,Black,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BIKESAT0001,Bike Satellite Inc.,1,FALSE,TRUE,Main Office,2141 Delaware Ct.,Downey,Tennessee,37501,United States,,,,
14,32,261,1690,5,504,12/28/2011 0:00,3,48.762,146.286,3,3,0,3,12/14/2011 0:00,12/23/2011 0:00,146.286,11.7029,3.6572,161.6461,280633567,Purchasing Assistant,1/17/1978,M,M,12/25/2010,FALSE,51,45,TRUE,,Reinout,N,Hillmann,,370-555-0163,Work,reinout0@adventure-works.com,2,620 Woodside Ct.,Bellevue,Washington,98004,United States,Cup-Shaped Race,RA-2345,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BLOOMING0001,Bloomington Multisport,1,TRUE,TRUE,Main Office,218 Fall Creek Road,West Covina,California,91791,United States,,,,
15,33,251,1566,5,497,12/28/2011 0:00,3,34.188,102.564,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,102.564,8.2051,2.5641,113.3332,603686790,Buyer,8/17/1984,S,M,2/10/2009,FALSE,59,49,TRUE,,Mikael,Q,Sandberg,,309-555-0170,Work,mikael0@adventure-works.com,2,9539 Glenside Dr,Bothell,Washington,98011,United States,Pinch Bolt,PB-6109,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BURNETT0001,Burnett Road Warriors,1,TRUE,TRUE,Main Office,5807 Churchill Dr.,Corvallis,Oregon,97330,United States,,,,
16,34,253,1698,5,323,12/28/2011 0:00,3,50.2635,150.7905,3,0,3,4,12/14/2011 0:00,12/23/2011 0:00,150.7905,12.0632,3.7698,166.6235,407505660,Buyer,11/30/1970,M,F,12/17/2009,FALSE,56,48,TRUE,,Linda,P,Meisner,,916-555-0165,Cell,linda2@adventure-works.com,0,6118 Grasswood Circle,Bellevue,Washington,98004,United States,Crown Race,CR-9981,FALSE,FALSE,,1000,750,0,0,,,,,0,,,,,,4/30/2008 0:00,,,BUSINESS0001,Business Equipment Center,2,TRUE,TRUE,Main Office,6061 St. Paul Way,Everett,Montana,98201,United States,,,,
17,35,255,1560,5,523,12/29/2011 0:00,550,10.731,5902.05,550,0,550,4,12/15/2011 0:00,12/24/2011 0:00,13669.425,1093.554,341.7356,15104.7146,466142721,Buyer,11/29/1966,M,M,1/11/2010,FALSE,52,46,TRUE,,Gordon,L,Hee,,230-555-0144,Cell,gordon0@adventure-works.com,0,108 Lakeside Court,Bellevue,Washington,98004,United States,LL Spindle/Axle,SD-2342,FALSE,FALSE,,500,375,0,0,,,,,0,,L ,,,,4/30/2008 0:00,,,CAPITAL0001,Capital Road Cycles,1,TRUE,TRUE,Main Office,628 Muir Road,Los Angeles,California,90012,United States,,,,
17,36,255,1560,5,524,12/29/2011 0:00,550,14.1225,7767.375,550,0,550,4,12/15/2011 0:00,12/24/2011 0:00,13669.425,1093.554,341.7356,15104.7146,466142721,Buyer,11/29/1966,M,M,1/11/2010,FALSE,52,46,TRUE,,Gordon,L,Hee,,230-555-0144,Cell,gordon0@adventure-works.com,0,108 Lakeside Court,Bellevue,Washington,98004,United States,HL Spindle/Axle,SD-9872,FALSE,FALSE,,500,375,0,0,,,,,0,,,,,,4/30/2008 0:00,,,CAPITAL0001,Capital Road Cycles,1,TRUE,TRUE,Main Office,628 Muir Road,Los Angeles,California,90012,United States,,,,
18,37,256,1692,5,492,12/29/2011 0:00,60,50.2635,3015.81,60,0,60,4,12/15/2011 0:00,12/24/2011 0:00,16393.23,1311.4584,409.8308,18114.5192,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,Paint - Black,PA-187B,FALSE,FALSE,,60,45,0,0,,,,,0,,,,,,4/30/2008 0:00,,,CARLSON0001,Carlson Specialties,2,TRUE,TRUE,Main Office,2313 B Southampton Rd,Missoula,Montana,59801,United States,,,,
18,38,256,1692,5,493,12/29/2011 0:00,60,57.1515,3429.09,60,0,60,4,12/15/2011 0:00,12/24/2011 0:00,16393.23,1311.4584,409.8308,18114.5192,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,Paint - Red,PA-361R,FALSE,FALSE,,60,45,0,0,,,,,0,,,,,,4/30/2008 0:00,,,CARLSON0001,Carlson Specialties,2,TRUE,TRUE,Main Office,2313 B Southampton Rd,Missoula,Montana,59801,United States,,,,
18,39,256,1692,5,494,12/29/2011 0:00,60,53.2035,3192.21,60,0,60,4,12/15/2011 0:00,12/24/2011 0:00,16393.23,1311.4584,409.8308,18114.5192,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,Paint - Silver,PA-529S,FALSE,FALSE,,60,45,0,0,,,,,0,,,,,,4/30/2008 0:00,,,CARLSON0001,Carlson Specialties,2,TRUE,TRUE,Main Office,2313 B Southampton Rd,Missoula,Montana,59801,United States,,,,
18,40,256,1692,5,495,12/29/2011 0:00,60,63.693,3821.58,60,0,60,4,12/15/2011 0:00,12/24/2011 0:00,16393.23,1311.4584,409.8308,18114.5192,367453993,Buyer,5/12/1952,M,M,1/23/2010,FALSE,58,49,TRUE,,Frank,S,Pellow,,163-555-0147,Cell,frank2@adventure-works.com,0,5980 Icicle Circle,Renton,Washington,98055,United States,Paint - Blue,PA-632U,FALSE,FALSE,,60,45,0,0,,,,,0,,,,,,4/30/2008 0:00,,,CARLSON0001,Carlson Specialties,2,TRUE,TRUE,Main Office,2313 B Southampton Rd,Missoula,Montana,59801,United States,,,,
